iter	TotalF1	MultiClass
0	0.771864438	1.091069663
1	0.8528709065	1.084590685
2	0.8645111234	1.077864762
3	0.8410222469	1.072800543
4	0.8331620946	1.066622724
5	0.8524079273	1.05838908
6	0.8404598032	1.050232367
7	0.8488161963	1.044266161
8	0.852399937	1.036984133
9	0.832376069	1.031360219
10	0.8489419939	1.026494064
11	0.8408705019	1.020640463
12	0.8528278	1.014855765
13	0.8530787199	1.008824895
14	0.8530787199	1.001961539
15	0.8571660357	0.9964948992
16	0.8531987046	0.9907530118
17	0.8611229712	0.9843201347
18	0.8611229712	0.9792556491
19	0.8650433223	0.9742321858
20	0.8650433223	0.9681199436
21	0.8611229712	0.9636035426
22	0.8611229712	0.9575538485
23	0.8650636916	0.9515598129
24	0.8767962607	0.9461958509
25	0.8690535974	0.9410445591
26	0.865113492	0.9358458632
27	0.8690535974	0.929760303
28	0.8767314103	0.9251737073
29	0.8728995757	0.9202202264
30	0.8728995757	0.9150197206
31	0.8728995757	0.9093531881
32	0.8767314103	0.9042351133
33	0.8805498518	0.8983074818
34	0.8843556432	0.8938338414
35	0.8843556432	0.8893305182
36	0.8843556432	0.8830395513
37	0.8805498518	0.8789915965
38	0.8805498518	0.8744335457
39	0.8843516908	0.8697736554
40	0.8843516908	0.8649306539
41	0.8843556432	0.8601936373
42	0.8843556432	0.8554986568
43	0.8919322111	0.8508806581
44	0.8957044387	0.8461816649
45	0.8994669194	0.8426586635
46	0.8994669194	0.8381102652
47	0.8957044387	0.8337242672
48	0.8994669194	0.8287483704
49	0.8994669194	0.8245109378
50	0.9031748077	0.8207636315
51	0.9109476221	0.8164283154
52	0.9072052375	0.8137298289
53	0.9109476221	0.8101936
54	0.9109476221	0.8063742904
55	0.9109476221	0.802489806
56	0.9109476221	0.7997124767
57	0.9146806836	0.7949880352
58	0.9146806836	0.7914125564
59	0.9146806836	0.7877296503
60	0.9109476221	0.7838087557
61	0.9146806836	0.7787198994
62	0.9146806836	0.7753555199
63	0.9146806836	0.7716452916
64	0.9146806836	0.7685737998
65	0.9146806836	0.7653929621
66	0.9183882812	0.7619281081
67	0.9183882812	0.7583882568
68	0.9183882812	0.7548533186
69	0.9183882812	0.7505587789
70	0.9183882812	0.7477157972
71	0.9183882812	0.7448784335
72	0.9183882812	0.7411920974
73	0.9183882812	0.7367135113
74	0.9183882812	0.7328491417
75	0.9183882812	0.7302394163
76	0.9183882812	0.7274214255
77	0.9146806836	0.7238823739
78	0.9183882812	0.7201165975
79	0.9183882812	0.7171163498
80	0.9183882812	0.7139777165
81	0.9183882812	0.7104252163
82	0.9183882812	0.7074173191
83	0.9183882812	0.7041947869
84	0.9183882812	0.701229408
85	0.9220884331	0.6987100998
86	0.9220884331	0.6956222567
87	0.9220884331	0.6934548545
88	0.9220884331	0.6906126637
89	0.9220884331	0.687600514
90	0.9220884331	0.6846772646
91	0.9220884331	0.6821097292
92	0.9184050944	0.6791924992
93	0.9184050944	0.6762058659
94	0.9220884331	0.6738699946
95	0.9184050944	0.6711538016
96	0.914713867	0.6686806298
97	0.914713867	0.6661713783
98	0.9184050944	0.6636068807
99	0.9220884331	0.6605824418
100	0.9184050944	0.6579982498
101	0.914713867	0.6550221172
102	0.914713867	0.6517667766
103	0.9184050944	0.649361923
104	0.9184050944	0.6465593112
105	0.9110140755	0.6439566836
106	0.914713867	0.6413309946
107	0.914713867	0.6390069364
108	0.9184050944	0.6362237134
109	0.914713867	0.6339054143
110	0.914713867	0.6311256753
111	0.914713867	0.628293079
112	0.9184050944	0.6255582205
113	0.914713867	0.6227136553
114	0.914713867	0.6205847093
115	0.9184050944	0.6176954093
116	0.9184050944	0.6153278187
117	0.9257810146	0.6124638851
118	0.9294336933	0.6096647638
119	0.9294336933	0.6071578218
120	0.9294336933	0.6044047552
121	0.9294336933	0.6021261753
122	0.9294336933	0.6004230902
123	0.9294336933	0.598618959
124	0.9294336933	0.5956801895
125	0.9294336933	0.5937284696
126	0.9294336933	0.5913687499
127	0.9294336933	0.5891801375
128	0.9257810146	0.5872748406
129	0.9294336933	0.5852905504
130	0.9294336933	0.5832500764
131	0.9294336933	0.581084738
132	0.9294336933	0.57842666
133	0.9294336933	0.5763635183
134	0.9294336933	0.5735992048
135	0.9257810146	0.5710858887
136	0.9257810146	0.5685048637
137	0.9294336933	0.5664985496
138	0.9294336933	0.5654467481
139	0.9367212378	0.5626027395
140	0.9367212378	0.5598760571
141	0.9403574105	0.5572944653
142	0.9403574105	0.5554012273
143	0.9403574105	0.5527539523
144	0.9403574105	0.5508166251
145	0.9403574105	0.5484217465
146	0.9403574105	0.5466174867
147	0.9403574105	0.5447168448
148	0.9403574105	0.543122652
149	0.9403574105	0.5407842843
150	0.9403574105	0.5386874465
151	0.9403574105	0.5368247014
152	0.9403574105	0.5348580401
153	0.9403574105	0.532781168
154	0.9403574105	0.5309313677
155	0.9403574105	0.5286838115
156	0.9403574105	0.5265295565
157	0.9403574105	0.5246799057
158	0.9439531645	0.5227554332
159	0.9439531645	0.5206821501
160	0.9439531645	0.5191703818
161	0.9439531645	0.517555376
162	0.9439531645	0.5157523098
163	0.9439531645	0.5143462688
164	0.9439531645	0.5126493059
165	0.9439531645	0.511165902
166	0.9439531645	0.5096914504
167	0.9439531645	0.5081711185
168	0.9439531645	0.5064023997
169	0.9439531645	0.5043631111
170	0.9475441436	0.5024865021
171	0.9556594963	0.5006341488
172	0.9556594963	0.4993070623
173	0.9556594963	0.4975388931
174	0.9556594963	0.4957873549
175	0.9556594963	0.4943862784
176	0.9556594963	0.4926379167
177	0.9556594963	0.4916117437
178	0.9556594963	0.4900607143
179	0.9556594963	0.4883368575
180	0.9556594963	0.4868472884
181	0.9556594963	0.4854262013
182	0.9556594963	0.4837587026
183	0.9556594963	0.4821309152
184	0.9556594963	0.4809552484
185	0.9556594963	0.4790479268
186	0.9556594963	0.4775160721
187	0.9556594963	0.4757675287
188	0.9556594963	0.4741252427
189	0.9556594963	0.4728052383
190	0.9556594963	0.4714537812
191	0.9556594963	0.469432053
192	0.9556594963	0.4681079533
193	0.9556594963	0.466617721
194	0.9556594963	0.4653813215
195	0.9556594963	0.4635388251
196	0.9556594963	0.4618338036
197	0.9556594963	0.460256868
198	0.9556594963	0.4584305052
199	0.9556594963	0.4566117687
200	0.9556594963	0.4553289693
201	0.9556594963	0.4536362242
202	0.9556594963	0.4521581013
203	0.9556594963	0.4507769746
204	0.9556594963	0.4494450975
205	0.9556594963	0.448067086
206	0.9556594963	0.4463847507
207	0.9556594963	0.4446908722
208	0.9556594963	0.4431601077
209	0.9556594963	0.4417275631
210	0.9556594963	0.4404233019
211	0.9556594963	0.4390409154
212	0.9556594963	0.4376194029
213	0.9556594963	0.4362706772
214	0.9556594963	0.4346271116
215	0.9556594963	0.4330576989
216	0.9556594963	0.4316120729
217	0.9556594963	0.4299444865
218	0.9556594963	0.4283345233
219	0.9556594963	0.4269540277
220	0.959248459	0.4254721739
221	0.959248459	0.4242185784
222	0.959248459	0.4226899973
223	0.959248459	0.4212270659
224	0.959248459	0.4198236394
225	0.9628211801	0.4183773704
226	0.9628211801	0.4169827611
227	0.9628211801	0.4154738347
228	0.9628211801	0.4141889354
229	0.9628211801	0.4123729038
230	0.9628211801	0.4108651984
231	0.9628211801	0.4094470599
232	0.9628211801	0.4081574833
233	0.9628211801	0.4069970773
234	0.9628211801	0.4057264329
235	0.9628211801	0.4042075096
236	0.9628211801	0.4028661382
237	0.9628211801	0.4017078674
238	0.966390926	0.4003595156
239	0.966390926	0.3988350655
240	0.966390926	0.3975570734
241	0.966390926	0.3961389656
242	0.966390926	0.3946486837
243	0.966390926	0.393417738
244	0.966390926	0.392321688
245	0.966390926	0.3907971986
246	0.966390926	0.389517444
247	0.966390926	0.3882569338
248	0.966390926	0.3871550837
249	0.966390926	0.3857300512
250	0.966390926	0.3844500392
251	0.966390926	0.3831104209
252	0.966390926	0.3816149013
253	0.966390926	0.3801607975
254	0.966390926	0.3787116029
255	0.966390926	0.3772322073
256	0.966390926	0.3761633286
257	0.966390926	0.3749157947
258	0.966390926	0.3735353568
259	0.966390926	0.3723549934
260	0.966390926	0.3710401431
261	0.966390926	0.3698760537
262	0.966390926	0.368592892
263	0.966390926	0.3671935317
264	0.966390926	0.3658762417
265	0.966390926	0.3648698858
266	0.966390926	0.3635728493
267	0.966390926	0.3624834512
268	0.966390926	0.3613466398
269	0.966390926	0.3602226018
270	0.966390926	0.3588532425
271	0.966390926	0.3574740133
272	0.966390926	0.3564519509
273	0.966390926	0.3550156908
274	0.966390926	0.3538325717
275	0.969958322	0.3528038317
276	0.969958322	0.351667734
277	0.969958322	0.3505293149
278	0.969958322	0.3494460701
279	0.969958322	0.3480450157
280	0.969958322	0.346565385
281	0.969958322	0.3450881213
282	0.969958322	0.3439554001
283	0.969958322	0.3428174161
284	0.969958322	0.3415484175
285	0.969958322	0.3404980646
286	0.969958322	0.339344686
287	0.969958322	0.3384882866
288	0.969958322	0.337394619
289	0.969958322	0.3364319237
290	0.969958322	0.3354393822
291	0.969958322	0.3342520168
292	0.969958322	0.3333148219
293	0.969958322	0.3321391302
294	0.969958322	0.3308634956
295	0.969958322	0.3295755111
296	0.969958322	0.3285685175
297	0.969958322	0.327552302
298	0.969958322	0.3263647482
299	0.969958322	0.3253322978
300	0.969958322	0.3242255704
301	0.969958322	0.3231813394
302	0.969958322	0.3224101471
303	0.969958322	0.3210249433
304	0.969958322	0.320033901
305	0.969958322	0.3188396083
306	0.969958322	0.3180172769
307	0.9778596171	0.3171965178
308	0.9778596171	0.3161904506
309	0.9778596171	0.3151337055
310	0.9778596171	0.3143249135
311	0.9778596171	0.3133574831
312	0.9778596171	0.3119786036
313	0.9778596171	0.3111588559
314	0.9778596171	0.3102019655
315	0.9778596171	0.3090856684
316	0.9778596171	0.307940979
317	0.9778596171	0.3068598208
318	0.9778596171	0.3060558722
319	0.9778596171	0.3050294134
320	0.9778596171	0.3041897343
321	0.9814231101	0.3032384988
322	0.9814231101	0.3022482783
323	0.9814231101	0.3013370706
324	0.9814231101	0.3002429352
325	0.9814231101	0.299383728
326	0.9814231101	0.2985022463
327	0.9814231101	0.2977718632
328	0.9814231101	0.2969700298
329	0.9814231101	0.2959566012
330	0.9814231101	0.2951751273
331	0.9814231101	0.2942520355
332	0.9814231101	0.2935684584
333	0.9814231101	0.2926636174
334	0.9814231101	0.291668333
335	0.9814231101	0.2908775906
336	0.9814231101	0.2899896009
337	0.9814231101	0.2891508785
338	0.9814231101	0.288401281
339	0.9814231101	0.2874678542
340	0.9814231101	0.2865631642
341	0.9814231101	0.285677974
342	0.9814231101	0.2849885921
343	0.9814231101	0.2840335892
344	0.9814231101	0.2832944073
345	0.9814231101	0.2826042515
346	0.9814231101	0.2818062422
347	0.9814231101	0.2807950042
348	0.9814231101	0.2799926909
349	0.9814231101	0.2792816179
350	0.9814231101	0.2784057623
351	0.9814231101	0.2776253224
352	0.9814231101	0.2766564954
353	0.9814231101	0.2759010055
354	0.9893589926	0.275191817
355	0.9893589926	0.2744031442
356	0.9893589926	0.2737072646
357	0.9893589926	0.2729801308
358	0.9893589926	0.2723606862
359	0.9893589926	0.2714957941
360	0.9893589926	0.270757623
361	0.9893589926	0.2699447769
362	0.9893589926	0.2691242249
363	0.9893589926	0.2684430789
364	0.9893589926	0.2677111654
365	0.9893589926	0.2670618306
366	0.9893589926	0.2663084138
367	0.9893589926	0.2655944363
368	0.9893589926	0.264908743
369	0.9893589926	0.2641563133
370	0.9893589926	0.2632605664
371	0.9893589926	0.2624738973
372	0.9893589926	0.2617992601
373	0.9893589926	0.2610704892
374	0.9893589926	0.2604311421
375	0.9893589926	0.2596356153
376	0.9893589926	0.2590904143
377	0.9893589926	0.2581772512
378	0.9893589926	0.2574314067
379	0.9893589926	0.2567636665
380	0.9893589926	0.2561709708
381	0.9893589926	0.2554863906
382	0.9893589926	0.254821482
383	0.9893589926	0.2540047558
384	0.9893589926	0.2533068816
385	0.9929069988	0.2525800573
386	0.9929069988	0.2516628278
387	0.9929069988	0.2509852174
388	0.9929069988	0.2503116781
389	0.9929069988	0.249677408
390	0.9929069988	0.2490236505
391	0.9929069988	0.248354308
392	0.9929069988	0.2476716296
393	0.9929069988	0.2469984181
394	0.9929069988	0.2462290154
395	0.9929069988	0.2456516849
396	0.9929069988	0.245025713
397	0.9929069988	0.2443762078
398	0.9929069988	0.2437967405
399	0.9929069988	0.2432597486
400	0.9929069988	0.2425028542
401	0.9929069988	0.2418775234
402	0.9929069988	0.2413537894
403	0.9929069988	0.2407420092
404	0.9929069988	0.2401993534
405	0.9929069988	0.2395130226
406	0.9929069988	0.2388352739
407	0.9929069988	0.2383473793
408	0.9929069988	0.2376685749
409	0.9929069988	0.2370424097
410	0.9929069988	0.2363750412
411	0.9929069988	0.2357716995
412	0.9929069988	0.2351710548
413	0.9929069988	0.2345153413
414	0.9929069988	0.2339048387
415	0.9929069988	0.233475498
416	0.9929069988	0.2329043312
417	0.9929069988	0.2323660313
418	0.9929069988	0.231693713
419	0.9929069988	0.2311058656
420	0.9929069988	0.2306092273
421	0.9929069988	0.2300460937
422	0.9929069988	0.2295018611
423	0.9929069988	0.2289600572
424	0.9929069988	0.2282492592
425	0.9929069988	0.2277196662
426	0.9929069988	0.2271101462
427	0.9929069988	0.2264351717
428	0.9929069988	0.2260246529
429	0.9929069988	0.2255470297
430	0.9929069988	0.2250564899
431	0.9929069988	0.2245401075
432	0.9929069988	0.2239658242
433	0.9929069988	0.2232883518
434	0.9929069988	0.2227321334
435	0.9929069988	0.2220850557
436	0.9929069988	0.2214656657
437	0.9929069988	0.2209837942
438	0.9929069988	0.2204697397
439	0.9929069988	0.2200265667
440	0.9929069988	0.2194395678
441	0.9929069988	0.2189768074
442	0.9929069988	0.2184797782
443	0.9929069988	0.2179566682
444	0.9929069988	0.2174332248
445	0.9929069988	0.2168688038
446	0.9929069988	0.2164078846
447	0.9929069988	0.2158704235
448	0.9929069988	0.2153582085
449	0.9929069988	0.2148094809
450	0.9929069988	0.2143420612
451	0.9929069988	0.2139278176
452	0.9929069988	0.2134734082
453	0.9929069988	0.2129519148
454	0.9929069988	0.2125489498
455	0.9929069988	0.2120998605
456	0.9929069988	0.2116742604
457	0.9929069988	0.2112445471
458	0.9929069988	0.2108289444
459	0.9929069988	0.2104031615
460	0.9929069988	0.2099446044
461	0.9929069988	0.2094943579
462	0.9929069988	0.209056173
463	0.9929069988	0.2085596191
464	0.9929069988	0.2080926138
465	0.9929069988	0.2076136316
466	0.9929069988	0.2071352238
467	0.9929069988	0.2066721875
468	0.9929069988	0.2062450339
469	0.9929069988	0.2056648271
470	0.9929069988	0.2052478747
471	0.9929069988	0.2047493858
472	0.9929069988	0.204245
473	0.9929069988	0.2038084869
474	0.9929069988	0.2033720775
475	0.9929069988	0.20293459
476	0.9929069988	0.2024029623
477	0.9929069988	0.2018758589
478	0.9929069988	0.2014573731
479	0.9929069988	0.2008984481
480	0.9929069988	0.2004073337
481	0.9929069988	0.1999526188
482	0.9929069988	0.1995446679
483	0.9929069988	0.1990901463
484	0.9929069988	0.1987366973
485	0.9929069988	0.1983165868
486	0.9929069988	0.1978742153
487	0.9929069988	0.1974036039
488	0.9929069988	0.1969931293
489	0.9929069988	0.1965974911
490	0.9929069988	0.1961366123
491	0.9929069988	0.1957126698
492	0.9929069988	0.1952505809
493	0.9929069988	0.1948387996
494	0.9929069988	0.1944701986
495	0.9929069988	0.1940596402
496	0.9929069988	0.1936435198
497	0.9929069988	0.1932785735
498	0.9929069988	0.1927164777
499	0.9929069988	0.1922374596
500	0.9929069988	0.1917543596
501	0.9929069988	0.1912466231
502	0.9929069988	0.1908261878
503	0.9929069988	0.1904791798
504	0.9929069988	0.1901786116
505	0.9929069988	0.1898198006
506	0.9929069988	0.1893753332
507	0.9929069988	0.1890258659
508	0.9929069988	0.188706706
509	0.9929069988	0.1883205584
510	0.9929069988	0.1878822841
511	0.9929069988	0.1875495044
512	0.9929069988	0.1871666259
513	0.9929069988	0.1868254707
514	0.9929069988	0.1864756536
515	0.9929069988	0.1860971114
516	0.9929069988	0.1856906413
517	0.9929069988	0.1853708848
518	0.9929069988	0.1849476478
519	0.9929069988	0.1845178671
520	0.9929069988	0.1840843702
521	0.9929069988	0.1837195377
522	0.9929069988	0.1833905053
523	0.9929069988	0.1829320049
524	0.9929069988	0.1825749474
525	0.9929069988	0.1822028456
526	0.9929069988	0.1818381245
527	0.9929069988	0.1815184355
528	0.9929069988	0.1811000751
529	0.9929069988	0.1807077605
530	0.9929069988	0.1804419159
531	0.9929069988	0.1801106311
532	0.9929069988	0.1797600376
533	0.9929069988	0.1793134908
534	0.9929069988	0.1788838044
535	0.9929069988	0.1784803166
536	0.9929069988	0.178149576
537	0.9929069988	0.1778459163
538	0.9929069988	0.1774604638
539	0.9929069988	0.1771599323
540	0.9929069988	0.1768260343
541	0.9929069988	0.176468268
542	0.9929069988	0.1760794018
543	0.9929069988	0.1757521862
544	0.9929069988	0.1754001893
545	0.9929069988	0.1750750629
546	0.9929069988	0.1748088863
547	0.9929069988	0.174447008
548	0.9929069988	0.1741469658
549	0.9929069988	0.173878044
550	0.9929069988	0.1735660381
551	0.9929069988	0.1732098699
552	0.9929069988	0.1728898497
553	0.9929069988	0.1725634406
554	0.9929069988	0.172277246
555	0.9929069988	0.1719486096
556	0.9929069988	0.1716771974
557	0.9929069988	0.1712165757
558	0.9929069988	0.1709173703
559	0.9929069988	0.1705063163
560	0.9929069988	0.1702131574
561	0.9929069988	0.1698264744
562	0.9929069988	0.1694895624
563	0.9929069988	0.1691652046
564	0.9929069988	0.1688406815
565	0.9929069988	0.1685996118
566	0.9929069988	0.1682641708
567	0.9929069988	0.167927626
568	0.9929069988	0.1675989321
569	0.9929069988	0.1672851278
570	0.9929069988	0.1668998947
571	0.9929069988	0.1665684058
572	0.9929069988	0.1663132068
573	0.9929069988	0.1660335698
574	0.9929069988	0.1656890982
575	0.9929069988	0.1653786354
576	0.9929069988	0.1650512067
577	0.9929069988	0.1647999529
578	0.9929069988	0.1645107851
579	0.9929069988	0.1641672502
580	0.9929069988	0.1638673908
581	0.9929069988	0.1635548062
582	0.9929069988	0.1632557576
583	0.9929069988	0.1630520855
584	0.9929069988	0.1627802062
585	0.9929069988	0.1624309121
586	0.9929069988	0.1621099032
587	0.9929069988	0.1618417446
588	0.9929069988	0.1614931269
589	0.9929069988	0.1612190845
590	0.9929069988	0.1609095854
591	0.9929069988	0.1606098335
592	0.9929069988	0.1603860778
593	0.9929069988	0.1600759478
594	0.9929069988	0.1598055915
595	0.9929069988	0.1596332911
596	0.9929069988	0.1593577382
597	0.9929069988	0.1590600968
598	0.9929069988	0.1587149545
599	0.9929069988	0.1583503696
600	0.9929069988	0.1581693816
601	0.9929069988	0.1579305225
602	0.9929069988	0.1576303754
603	0.9929069988	0.1573357127
604	0.9929069988	0.15705754
605	0.9929069988	0.1567224197
606	0.9929069988	0.1564524281
607	0.9929069988	0.1561750827
608	0.9929069988	0.1559533304
609	0.9929069988	0.1556254521
610	0.9964538004	0.1552933419
611	0.9964538004	0.1550467606
612	0.9964538004	0.1547387297
613	0.9964538004	0.1544784635
614	0.9964538004	0.1541424009
615	0.9964538004	0.1539014635
616	0.9964538004	0.1535651884
617	0.9964538004	0.1533085024
618	0.9964538004	0.1530835464
619	0.9964538004	0.1527857591
620	0.9964538004	0.1524730305
