India/State/UT,Total Schools,Total Enrolment,Total Teachers,Number of Schools with Single Teacher,Number of CWSN Enrolments,Number of Transgender Enrolments,Number of Teachers with Professional Qualification,<=50,51-100,101-150,151-200,201-250,251-300,>300,SC Enrolment (in %),ST Enrolment (in %),OBC Enrolment (in %),General Enrolment (in %),Muslim Enrolment (in %),Christian Enrolment (in %),Sikh Enrolment (in %),Buddhist Enrolment (in %),Parsi Enrolment (in %),Jain Enrolment (in %),Other Enrolment (in %),Percentage of Schools with Functional Electricity connection,Percentage of Schools with Functional Girls Toilet,Percentage of Schools with Functional CWSN friendly Toilet,Percentage of Schools with Handwash Facility,Percentage of Schools with Drinking Water,Percentage of Schools having Library/ Reading corner,Percentage of Schools with Internet Facility,Percentage of Schools with Computer Facility,Percentage of Schools with Ramp for CWSN,Percentage of Schools with Playground,Percentage of Schools having Kitchen Garden,Percentage of Schools having Rainwater harvesting,Percentage of Schools having Waste collection system,Percentage of Schools having separate room for Head Teacher/Principal,Percentage of Schools with boundary wall,Year,Average Dropout Rate,,,,
Uttarakhand,22460,1002115,78226,1513,8145,17,77808,1.9,10.7,21.5,20.1,17.4,10.8,17.6,22.6,3.3,28.8,45.3,13.6,0.4,1,0,0,0.3,0.4,99.8,99.7,97.1,99.4,99.9,97.3,48.2,60.9,98.2,88.5,55.4,49.3,92.4,97.7,97.7,2022,0.3,,,,
Uttar Pradesh,246933,33081284,982641,26824,48493,85,975832,4.3,9.8,23.7,26.3,17.8,8.9,9.2,22.1,0.6,41.2,36.1,13.4,0.3,0.4,0,0,0.1,0.3,99.7,99.3,96.8,99.2,99.8,95.7,33.2,47.9,97.1,82.5,42.7,38.9,88.2,96.8,96.8,2022,0.2,,,,
West Bengal,92676,12513064,474958,5327,12932,29,472614,2.7,9.7,23.4,22.1,18.6,10.3,13.2,21.1,6,37.7,35.2,15.3,0.7,1.4,0,0,0.2,0.4,99.4,99.6,95.1,98.8,99.7,94.2,36.4,49.2,97.3,86.9,44.8,42.6,89.5,97.2,97.2,2022,0.6,,,,
India,1471891,248045828,9807600,117070,2114110,39634,9107931,25.9,24.1,15.7,9.6,6.3,4.4,13.9,18,9.9,45.2,26.9,15.8,2,1.8,0.5,0,0.2,0,91.8,97.2,34.4,94.7,98.3,89,53.9,57.2,52.3,82.4,36.2,28.4,69.5,47.8,65.3,2023,6.6,,,,
Andaman & Nicobar Islands,412,72119,5750,63,968,3,5603,26.1,19.3,13.8,11.1,7.5,3.9,18.4,0,7.9,59.3,32.8,11.3,16.8,0.1,0.2,0,0,0.1,98.6,99.3,55.1,98.3,99.5,95.7,93.2,95.2,85.5,91.1,49.8,40.1,95.2,85,91.8,2023,2.2,,,,
Andhra Pradesh,61373,8741885,338293,8132,87034,220,321288,34.2,16.2,11.2,8.2,6.4,5,18.8,18.8,5.7,62.8,12.7,12.2,2.3,0,0,0,0,0,98.8,99.6,42.4,98.7,99.7,85.2,60.2,33.1,64.1,69.5,47.2,46.4,85.2,46.2,74.7,2023,4.1,,,,
Arunachal Pradesh,3490,323717,24700,769,2493,1,22823,54.7,24.3,9.7,4.4,2.3,1.4,3.1,0.3,71.2,5.2,23.3,1.3,18.2,0.1,2.8,0,0,0.3,80,94.1,22.5,88.3,96.3,93.4,41.4,36,36.5,84.4,60,30.3,64.8,55.5,33.5,2023,9.2,,,,
Assam,56630,6922533,342199,8967,104321,29,321941,36,25.4,14.6,8.2,5.1,3.2,7.5,7.1,13.2,35.3,44.4,40.1,4.7,0.1,0.3,0,0.1,0,78.2,93.7,17.3,89.5,98.2,84.5,21,27.1,28.7,71.2,46.6,13.2,56.9,40.5,34,2023,11.5,,,,
Bihar,94686,21348149,657063,4748,232961,2578,432545,3.9,10.6,15.1,14.5,12.5,9.8,33.5,19.2,1.3,64,15.5,20.4,0.1,0,0,0,0,0,94.4,97.7,29.9,94.3,98.8,92.5,33.3,21,43.3,88.3,39.3,28,77.4,50.1,76.5,2023,20.2,,,,
Chandigarh,230,265706,10237,0,1839,12,9498,1.7,3,3,2.2,2.6,2.2,85.2,18.5,0.3,31.4,49.8,5,0.7,2.2,0.1,0,0.1,0,100,100,90.4,100,100,99.1,100,100,98.3,91.3,57.4,73,99.1,93.9,98.3,2023,1.9,,,,
Chhattisgarh,56615,5776548,278798,9275,71927,141,255848,41,27.1,12.9,6.7,3.9,2.4,6.1,12.8,32.8,42.4,12,1.8,0.8,0.3,0.1,0,0.1,0,98.1,98.9,25.6,97.7,99.5,97.9,45.6,35.4,44.9,86.6,49.8,36.5,74.9,49.8,61.9,2023,7.4,,,,
Dadra and Nagar Haveli and Daman & Diu,432,141282,4995,18,699,3,4460,14.2,12.4,10.2,9.4,7.8,7.2,38.8,2.2,53.4,18.2,26.2,6.6,1.9,0.1,0.1,0,0,0,99.8,99.8,70.8,99.3,100,96.5,96.5,97.4,87.6,91.5,45.3,47.1,89.3,71.2,85.4,2023,7.1,,,,
Delhi,5497,4506578,160479,15,47849,573,149880,5.3,4.4,3.7,3.1,3.4,3.4,76.6,16.5,0.7,35.4,47.4,14.6,0.4,2,0.1,0,0.3,0,99.9,99.6,83.9,99.6,99.8,97.7,99.3,98.8,97.3,92.1,55.9,68.4,98.6,89.5,98.7,2023,3.7,,,,
Goa,1487,304735,14594,114,2114,3,14022,32.3,21.8,13.4,8.8,5.8,3.7,14.2,2.1,13.7,29.8,54.4,9.2,7.7,0.1,0.1,0,0,0,99.5,99.2,56.7,98.8,99.7,97.7,90.8,94,77.7,92.6,43.2,38.8,87.6,71.5,77.8,2023,3.3,,,,
Gujarat,53626,11496709,394053,2576,114343,456,368532,14.1,19.5,17.4,13.5,9.7,6.8,19,7.2,18,48,26.8,11.4,0.6,0.1,0,0,0.2,0,99.7,99.4,62.8,98.4,99.5,95.7,88.1,84.1,78,92.4,44.7,51.8,85.4,66.1,87.3,2023,7.3,,,,
Haryana,23517,5599742,250909,969,67438,245,230823,10.7,16.4,17.1,14.3,10.5,7.3,23.6,21.7,0.1,40.3,37.9,6.7,0.2,3.3,0,0,0.1,0,99,98.9,50,97.9,99.4,90.3,64.3,65,65,85.6,40.3,37,80.7,56.9,81.1,2023,6.3,,,,
Himachal Pradesh,17826,1426412,101131,2816,14023,12,99016,66.8,21.7,6.8,2.5,1,0.5,0.7,28.2,5.7,16.9,49.2,2.3,0.2,0.8,1.2,0,0,0,99.4,99.1,38.9,98.8,99.8,91.6,56.5,58,54.7,83.8,39.1,38.6,75.3,51,70.9,2023,1.7,,,,
Jammu and Kashmir,24296,2629949,167046,3206,38174,103,161981,48.7,28.8,11.1,4.9,2.5,1.5,2.6,8.9,12.2,27.1,51.8,76.5,0.4,1.8,1.2,0,0,0.1,85,94.8,24.1,90,97.8,75,34.8,36.1,30.8,78.3,25.8,17.2,56,36.8,54,2023,5.7,,,,
Jharkhand,44475,7143255,206591,9185,94218,65,190130,29,30.3,16.9,9.4,5.4,3.2,5.8,12.3,27,47.2,13.5,14,4.2,0.1,0,0,0,0.6,83.3,95.7,23,91.8,97.8,81.3,22.2,21.6,31.7,82.4,43.6,23.3,61,39.2,52,2023,9.8,,,,
Karnataka,75869,11926303,433942,2353,136622,488,426030,23.3,26.4,17.3,10.6,6.7,4.4,11.3,17.7,7,52,23.3,13.4,1.1,0,0.2,0,0.4,0,98.3,98.7,39.3,97.9,99.4,89.8,61,54.3,60.2,84.8,48.2,41.9,78.2,51.8,72,2023,4.5,,,,
Kerala,15864,6281704,291096,539,71987,31,273347,4.4,8.4,10.3,9.8,8.8,7.9,50.3,10.2,1.5,45.4,42.9,28.2,11.9,0,0,0,0,0,99.7,99.7,78.1,99.5,99.8,99,96.3,97.3,91.2,93.9,64.5,60.6,96.3,86.4,89.9,2023,2.6,,,,
Ladakh,995,56642,6432,182,280,0,6013,61.9,25,7.7,2.2,1.2,0.8,1.2,0.6,71.2,1.9,26.3,14,0.5,0.1,38.9,0,0,0,97.9,97.8,40.1,96.6,96.7,91.8,81.5,84.6,54.2,85.4,25,20.4,72.6,48.7,64.6,2023,1.7,,,,
Lakshadweep,37,12591,911,,,,,2.7,2.7,5.4,5.4,10.8,16.2,56.8,0,94.9,0,5.1,98,1.6,0,0,0,0,0,100,100,86.5,100,100,100,100,100,100,100,75.7,83.8,100,91.9,100,2023,2.4,,,,
Madhya Pradesh,123412,15361543,639525,13861,246473,728,574620,44.7,29.9,12.1,5.6,2.9,1.7,3.2,16.8,24,47.8,11.4,6.7,0.3,0.2,0.1,0,0.2,0,94,97.5,23.3,94.2,98.6,89,32.4,32.7,35,84.1,49.1,28.5,68,43.1,62.8,2023,9.5,,,,
Maharashtra,108237,21375970,738114,7164,257258,806,725345,30,22,14.9,10.1,7,5,11.1,12,9.9,35.3,42.8,11.4,0.9,0.2,6,0,0.4,0.1,96.8,97.8,39,94.9,98.6,87.5,67.7,65.3,58.8,80.1,41.3,40.2,74.7,50.5,67.8,2023,4.8,,,,
Manipur,4646,647434,40921,540,6078,5,38739,35.5,25.2,14.2,8.2,5.4,3.4,8.1,3.8,37.6,14.1,44.5,9.2,44.1,0.1,0.1,0,0.1,2.8,57.1,87.1,17.9,80.2,88.4,81.1,28.8,32,27.1,74.9,36.5,15,50.8,45.8,40,2023,4.2,,,,
Meghalaya,14601,1052884,55726,1948,7677,14,48489,63,24.1,7.6,2.9,1.2,0.6,0.5,0.6,88.4,1.9,9.1,4.7,78.2,0,0.1,0,0,1,64,88.4,11.5,81.3,92.9,71.1,15.1,16.8,15.6,63.9,30.4,9.6,40.6,35.1,22.2,2023,7.5,,,,
Mizoram,3941,293763,23013,286,2230,2,22129,42.5,30.7,12.7,6.1,3.1,1.8,3,0.1,95.5,0.9,3.5,1.5,90.3,0,4.2,0,0,0,89,95.6,24.3,91.8,96.9,92.8,48,51.8,37.3,87.3,53.4,25.4,72.1,51.8,45,2023,9.3,,,,
Nagaland,2725,412975,32602,204,3444,0,30919,34.4,29.8,15.2,8.2,4.6,2.7,5.1,0,91.8,0.7,7.5,2.1,91.2,0.1,0.1,0,0,0.1,75.4,92.9,19.3,86.2,92.4,80.8,33.5,39.6,26.4,75.3,43.3,16,51.5,41.2,34.5,2023,6.2,,,,
Odisha,61693,7756910,335496,8127,115166,74,319403,35.4,29.9,15.2,7.9,4.5,2.7,4.5,20.4,25.3,42.1,12.2,2.4,1.7,0,0,0,0,0,87,95.7,21.2,92.1,97.4,78.8,28.5,32,32.2,74.5,41.7,21.5,58,38.7,51.5,2023,6.7,,,,
Puducherry,735,244828,13202,17,2239,3,12604,7.4,8.9,9.3,9.2,8.1,7.1,50,17.2,0.1,53.2,29.5,6.6,4.3,0,0,0,0,0,100,100,81.3,100,100,97.9,99.6,99.3,94.9,93.4,44,48,97.5,83.1,93.8,2023,2.7,,,,
Punjab,27404,5988681,273092,2088,70707,81,257849,17,17.8,16.3,13,9.8,7,20,37.4,0.1,22,40.5,2.1,1.2,28.1,0,0,0.1,0,99.7,99.8,67.9,99.5,99.9,96.4,96.4,96.6,85.6,94.4,55.6,44.2,92.5,76.5,93,2023,5.8,,,,
Rajasthan,107757,16786065,775745,9985,139989,282,683057,10.2,19.9,20.4,15.5,10.6,7,16.3,18.7,16.4,48.2,16.7,9.4,0.1,0.3,0,0,0.3,0,96.7,97.9,32.1,94.4,98.8,81.3,47.1,48.2,46.2,79.5,29.9,32.8,65.3,44.3,68,2023,7.4,,,,
Sikkim,1254,121395,15489,85,723,0,14981,39.8,29.1,14.2,7.4,4.2,2.2,3,5.1,32.3,9.4,53.2,1.9,4.4,0.1,26.2,0,0,0.2,98.6,98.6,44.9,98.3,99.4,97.1,82.6,85.4,61.9,90.2,65.4,49.8,84.6,60.7,69.4,2023,38.8,,,,
Tamil Nadu,58722,12993050,550558,3628,157997,145,555364,29,22.1,15.3,10.2,7,4.8,11.6,21.8,1.3,64.2,12.7,6.3,8.7,0,0,0,0,0,99.2,98.7,48.2,97.8,99.3,94.4,69.5,70.9,67.3,83.9,52.4,50,89,64.1,81.2,2023,13.4,,,,
Telangana,42901,7293644,341460,2733,66827,105,294334,23.1,20.5,16,11.9,8.9,6.2,13.4,18.4,8.5,56,17.1,13.2,1,0.1,0,0,0,0,98.4,99.4,30.3,97.9,99.7,85.5,50.1,40.1,49.2,78,45.6,38.5,75.9,45.3,69.8,2023,17.2,,,,
Tripura,4923,689408,37661,291,7101,6,36453,21.7,27.1,19.1,12.2,7.6,4.7,7.7,18.1,36.9,6.7,38.3,9,3.5,0,3.3,0,0,0,75.7,93.4,18.8,88,96.8,86.3,20,25.9,29.3,73.4,39.8,12.5,53.2,40.4,42.4,2023,17.8,,,,
Uttarakhand,22431,1005203,78276,1502,8188,18,77857,1.9,10.6,21.4,20,17.3,10.9,17.7,22.7,3.4,28.9,45,13.8,0.4,1,0,0,0.3,0.4,99.8,99.8,97.2,99.5,99.9,97.4,48.3,61,98.3,88.7,55.6,49.5,92.6,97.8,97.8,2023,17.1,,,,
Uttar Pradesh,247010,33098014,982743,26812,48519,86,975933,4.3,9.7,23.6,26.2,17.8,8.9,9.2,22,0.6,41.3,36,13.5,0.3,0.4,0,0,0.1,0.3,99.8,99.3,96.9,99.3,99.8,95.8,33.3,48,97.2,82.7,42.8,39,88.3,96.9,96.9,2023,17.1,,,,
West Bengal,92618,12519881,474999,5314,12956,29,472655,2.7,9.6,23.3,22,18.5,10.3,13.3,21,6,37.8,35.1,15.4,0.7,1.4,0,0,0.2,0.4,99.4,99.7,95.2,98.9,99.8,94.3,36.5,49.3,97.4,87,44.9,42.7,89.6,97.3,97.3,2023,36.3,,,,
India,1471891,248045828,9807600,117070,2114110,39634,9107931,25.9,24.1,15.7,9.6,6.3,4.4,13.9,18,9.9,45.2,26.9,15.8,2,1.8,0.5,0,0.2,0,91.8,97.2,34.4,94.7,98.3,89,53.9,57.2,52.3,82.4,36.2,28.4,69.5,47.8,65.3,2024,6.6,,,,
Andaman & Nicobar Islands,412,72119,5750,63,968,3,5603,26.1,19.3,13.8,11.1,7.5,3.9,18.4,0,7.9,59.3,32.8,11.3,16.8,0.1,0.2,0,0,0.1,98.6,99.3,55.1,98.3,99.5,95.7,93.2,95.2,85.5,91.1,49.8,40.1,95.2,85,91.8,2024,2.2,,,,
Andhra Pradesh,61373,8741885,338293,8132,87034,220,321288,34.2,16.2,11.2,8.2,6.4,5,18.8,18.8,5.7,62.8,12.7,12.2,2.3,0,0,0,0,0,98.8,99.6,42.4,98.7,99.7,85.2,60.2,33.1,64.1,69.5,47.2,46.4,85.2,46.2,74.7,2024,4.1,,,,
Arunachal Pradesh,3490,323717,24700,769,2493,1,22823,54.7,24.3,9.7,4.4,2.3,1.4,3.1,0.3,71.2,5.2,23.3,1.3,18.2,0.1,2.8,0,0,0.3,80,94.1,22.5,88.3,96.3,93.4,41.4,36,36.5,84.4,60,30.3,64.8,55.5,33.5,2024,9.2,,,,
Assam,56630,6922533,342199,8967,104321,29,321941,36,25.4,14.6,8.2,5.1,3.2,7.5,7.1,13.2,35.3,44.4,40.1,4.7,0.1,0.3,0,0.1,0,78.2,93.7,17.3,89.5,98.2,84.5,21,27.1,28.7,71.2,46.6,13.2,56.9,40.5,34,2024,11.5,,,,
Bihar,94686,21348149,657063,4748,232961,2578,432545,3.9,10.6,15.1,14.5,12.5,9.8,33.5,19.2,1.3,64,15.5,20.4,0.1,0,0,0,0,0,94.4,97.7,29.9,94.3,98.8,92.5,33.3,21,43.3,88.3,39.3,28,77.4,50.1,76.5,2024,20.2,,,,
Chandigarh,230,265706,10237,0,1839,12,9498,1.7,3,3,2.2,2.6,2.2,85.2,18.5,0.3,31.4,49.8,5,0.7,2.2,0.1,0,0.1,0,100,100,90.4,100,100,99.1,100,100,98.3,91.3,57.4,73,99.1,93.9,98.3,2024,1.9,,,,
Chhattisgarh,56615,5776548,278798,9275,71927,141,255848,41,27.1,12.9,6.7,3.9,2.4,6.1,12.8,32.8,42.4,12,1.8,0.8,0.3,0.1,0,0.1,0,98.1,98.9,25.6,97.7,99.5,97.9,45.6,35.4,44.9,86.6,49.8,36.5,74.9,49.8,61.9,2024,7.4,,,,
Dadra and Nagar Haveli and Daman & Diu,1573,312445,15321,68,4216,2,14687,18.4,22.1,17.3,12.8,9.1,6.2,14.1,7.2,41.6,28.9,22.3,7.8,1.1,0,0,0,0,0,97.6,98.9,36.7,96.8,99.2,83.5,54.1,49.8,52.4,79.6,34.2,31.8,69.1,46.3,68.5,2024,5.6,,,,
Delhi,5497,4506578,160479,15,47849,573,149880,5.3,4.4,3.7,3.1,3.4,3.4,76.6,16.5,0.7,35.4,47.4,14.6,0.4,2,0.1,0,0.3,0,99.9,99.6,83.9,99.6,99.8,97.7,99.3,98.8,97.3,92.1,55.9,68.4,98.6,89.5,98.7,2024,3.7,,,,
Goa,1487,304735,14594,114,2114,3,14022,32.3,21.8,13.4,8.8,5.8,3.7,14.2,2.1,13.7,29.8,54.4,9.2,7.7,0.1,0.1,0,0,0,99.5,99.2,56.7,98.8,99.7,97.7,90.8,94,77.7,92.6,43.2,38.8,87.6,71.5,77.8,2024,3.3,,,,
Gujarat,53626,11496709,394053,2576,114343,456,368532,14.1,19.5,17.4,13.5,9.7,6.8,19,7.2,18,48,26.8,11.4,0.6,0.1,0,0,0.2,0,99.7,99.4,62.8,98.4,99.5,95.7,88.1,84.1,78,92.4,44.7,51.8,85.4,66.1,87.3,2024,7.3,,,,
Haryana,23517,5599742,250909,969,67438,245,230823,10.7,16.4,17.1,14.3,10.5,7.3,23.6,21.7,0.1,40.3,37.9,6.7,0.2,3.3,0,0,0.1,0,99,98.9,50,97.9,99.4,90.3,64.3,65,65,85.6,40.3,37,80.7,56.9,81.1,2024,6.3,,,,
Himachal Pradesh,17826,1426412,101131,2816,14023,12,99016,66.8,21.7,6.8,2.5,1,0.5,0.7,28.2,5.7,16.9,49.2,2.3,0.2,0.8,1.2,0,0,0,99.4,99.1,38.9,98.8,99.8,91.6,56.5,58,54.7,83.8,39.1,38.6,75.3,51,70.9,2024,1.7,,,,
Jammu and Kashmir,24296,2629949,167046,3206,38174,103,161981,48.7,28.8,11.1,4.9,2.5,1.5,2.6,8.9,12.2,27.1,51.8,76.5,0.4,1.8,1.2,0,0,0.1,85,94.8,24.1,90,97.8,75,34.8,36.1,30.8,78.3,25.8,17.2,56,36.8,54,2024,5.7,,,,
Jharkhand,44475,7143255,206591,9185,94218,65,190130,29,30.3,16.9,9.4,5.4,3.2,5.8,12.3,27,47.2,13.5,14,4.2,0.1,0,0,0,0.6,83.3,95.7,23,91.8,97.8,81.3,22.2,21.6,31.7,82.4,43.6,23.3,61,39.2,52,2024,9.8,,,,
Karnataka,75869,11926303,433942,2353,136622,488,426030,23.3,26.4,17.3,10.6,6.7,4.4,11.3,17.7,7,52,23.3,13.4,1.1,0,0.2,0,0.4,0,98.3,98.7,39.3,97.9,99.4,89.8,61,54.3,60.2,84.8,48.2,41.9,78.2,51.8,72,2024,4.5,,,,
Kerala,15864,6281704,291096,539,71987,31,273347,4.4,8.4,10.3,9.8,8.8,7.9,50.3,10.2,1.5,45.4,42.9,28.2,11.9,0,0,0,0,0,99.7,99.7,78.1,99.5,99.8,99,96.3,97.3,91.2,93.9,64.5,60.6,96.3,86.4,89.9,2024,2.6,,,,
Ladakh,995,56642,6432,182,280,0,6013,61.9,25,7.7,2.2,1.2,0.8,1.2,0.6,71.2,1.9,26.3,14,0.5,0.1,38.9,0,0,0,97.9,97.8,40.1,96.6,96.7,91.8,81.5,84.6,54.2,85.4,25,20.4,72.6,48.7,64.6,2024,1.7,,,,
Lakshadweep,37,12591,911,0,0,0,911,2.7,2.7,5.4,5.4,10.8,16.2,56.8,0,94.9,0,5.1,98,1.6,0,0,0,0,0,100,100,86.5,100,100,100,100,100,100,100,75.7,83.8,100,91.9,100,2024,2.4,,,,
Madhya Pradesh,123412,15361543,639525,13861,246473,728,574620,44.7,29.9,12.1,5.6,2.9,1.7,3.2,16.8,24,47.8,11.4,6.7,0.3,0.2,0.1,0,0.2,0,94,97.5,23.3,94.2,98.6,89,32.4,32.7,35,84.1,49.1,28.5,68,43.1,62.8,2024,9.5,,,,
Maharashtra,108237,21375970,738114,7164,257258,806,725345,30,22,14.9,10.1,7,5,11.1,12,9.9,35.3,42.8,11.4,0.9,0.2,6,0,0.4,0.1,96.8,97.8,39,94.9,98.6,87.5,67.7,65.3,58.8,80.1,41.3,40.2,74.7,50.5,67.8,2024,4.8,,,,
Manipur,4646,647434,40921,540,6078,5,38739,35.5,25.2,14.2,8.2,5.4,3.4,8.1,3.8,37.6,14.1,44.5,9.2,44.1,0.1,0.1,0,0.1,2.8,57.1,87.1,17.9,80.2,88.4,81.1,28.8,32,27.1,74.9,36.5,15,50.8,45.8,40,2024,4.2,,,,
Meghalaya,14601,1052884,55726,1948,7677,14,48489,63,24.1,7.6,2.9,1.2,0.6,0.5,0.6,88.4,1.9,9.1,4.7,78.2,0,0.1,0,0,1,64,88.4,11.5,81.3,92.9,71.1,15.1,16.8,15.6,63.9,30.4,9.6,40.6,35.1,22.2,2024,7.5,,,,
Mizoram,3941,293763,23013,286,2230,2,22129,42.5,30.7,12.7,6.1,3.1,1.8,3,0.1,95.5,0.9,3.5,1.5,90.3,0,4.2,0,0,0,89,95.6,24.3,91.8,96.9,92.8,48,51.8,37.3,87.3,53.4,25.4,72.1,51.8,45,2024,9.3,,,,
Nagaland,2725,412975,32602,204,3444,0,30919,34.4,29.8,15.2,8.2,4.6,2.7,5.1,0,91.8,0.7,7.5,2.1,91.2,0.1,0.1,0,0,0.1,75.4,92.9,19.3,86.2,92.4,80.8,33.5,39.6,26.4,75.3,43.3,16,51.5,41.2,34.5,2024,6.2,,,,
Odisha,61693,7756910,335496,8127,115166,74,319403,35.4,29.9,15.2,7.9,4.5,2.7,4.5,20.4,25.3,42.1,12.2,2.4,1.7,0,0,0,0,0,87,95.7,21.2,92.1,97.4,78.8,28.5,32,32.2,74.5,41.7,21.5,58,38.7,51.5,2024,6.7,,,,
Puducherry,735,244828,13202,17,2239,3,12604,7.4,8.9,9.3,9.2,8.1,7.1,50,17.2,0.1,53.2,29.5,6.6,4.3,0,0,0,0,0,100,100,81.3,100,100,97.9,99.6,99.3,94.9,93.4,44,48,97.5,83.1,93.8,2024,2.7,,,,
Punjab,27404,5988681,273092,2088,70707,81,257849,17,17.8,16.3,13,9.8,7,20,37.4,0.1,22,40.5,2.1,1.2,28.1,0,0,0.1,0,99.7,99.8,67.9,99.5,99.9,96.4,96.4,96.6,85.6,94.4,55.6,44.2,92.5,76.5,93,2024,5.8,,,,
Rajasthan,107757,16786065,775745,9985,139989,282,683057,10.2,19.9,20.4,15.5,10.6,7,16.3,18.7,16.4,48.2,16.7,9.4,0.1,0.3,0,0,0.3,0,96.7,97.9,32.1,94.4,98.8,81.3,47.1,48.2,46.2,79.5,29.9,32.8,65.3,44.3,68,2024,7.4,,,,
Sikkim,1254,121395,15489,85,723,0,14981,39.8,29.1,14.2,7.4,4.2,2.2,3,5.1,32.3,9.4,53.2,1.9,4.4,0.1,26.2,0,0,0.2,98.6,98.6,44.9,98.3,99.4,97.1,82.6,85.4,61.9,90.2,65.4,49.8,84.6,60.7,69.4,2024,38.8,,,,
Tamil Nadu,58722,12993050,550558,3628,157997,145,555364,29,22.1,15.3,10.2,7,4.8,11.6,21.8,1.3,64.2,12.7,6.3,8.7,0,0,0,0,0,99.2,98.7,48.2,97.8,99.3,94.4,69.5,70.9,67.3,83.9,52.4,50,89,64.1,81.2,2024,13.4,,,,
Telangana,42901,7293644,341460,2733,66827,105,294334,23.1,20.5,16,11.9,8.9,6.2,13.4,18.4,8.5,56,17.1,13.2,1,0.1,0,0,0,0,98.4,99.4,30.3,97.9,99.7,85.5,50.1,40.1,49.2,78,45.6,38.5,75.9,45.3,69.8,2024,17.2,,,,
Tripura,4923,689408,37661,291,7101,6,36453,21.7,27.1,19.1,12.2,7.6,4.7,7.7,18.1,36.9,6.7,38.3,9,3.5,0,3.3,0,0,0,75.7,93.4,18.8,88,96.8,86.3,20,25.9,29.3,73.4,39.8,12.5,53.2,40.4,42.4,2024,17.8,,,,
Uttarakhand,22431,1005203,78276,1502,8188,18,77857,1.9,10.6,21.4,20,17.3,10.9,17.7,22.7,3.4,28.9,45,13.8,0.4,1,0,0,0.3,0.4,99.8,99.8,97.2,99.5,99.9,97.4,48.3,61,98.3,88.7,55.6,49.5,92.6,97.8,97.8,2024,17.1,,,,
Uttar Pradesh,247010,33098014,982743,26812,48519,86,975933,4.3,9.7,23.6,26.2,17.8,8.9,9.2,22,0.6,41.3,36,13.5,0.3,0.4,0,0,0.1,0.3,99.8,99.3,96.9,99.3,99.8,95.8,33.3,48,97.2,82.7,42.8,39,88.3,96.9,96.9,2024,17.1,,,,
West Bengal,92618,12519881,474999,5314,12956,29,472655,2.7,9.6,23.3,22,18.5,10.3,13.3,21,6,37.8,35.1,15.4,0.7,1.4,0,0,0.2,0.4,99.4,99.7,95.2,98.9,99.8,94.3,36.5,49.3,97.4,87,44.9,42.7,89.6,97.3,97.3,2024,36.3,,,,
